"","ACK_ID","PLAN_YEAR_BEGIN_DATE","PLAN_YEAR_END_DATE","PLAN_NAME","PLAN_EFFECTIVE_DATE","PLAN_TYPE","SPONSOR_NAME","SPONSOR_STATE","SPONSOR_EIN","BUSINESS_CODE","TOTAL_ACCBAL_PARTCP_BOY","TOTAL_ACCBAL_PARTCP_EOY","TOTAL_CONTRIB_PARTCP_BOY","TOTAL_CONTRIB_PARTCP_EOY","TOTAL_CONTRIB_EMPLR_BOY","TOTAL_CONTRIB_EMPLR_EOY","TOTAL_LOANS_BOY","TOTAL_LOANS_EOY","TOTAL_ASSETS_BOY","TOTAL_ASSETS_EOY","INDUSTRY_TITLE"
"1","20240616111635NAL0000841426001","2023-01-01","2023-12-31","PRESIDENT CONTAINER GROUP II, LLC 401(K) PLAN","1993-01-01","2A2E2F2G2J2K2T3D3H","PRESIDENT CONTAINER GROUP II, LLC","NJ",271581303,322200,140,125,13587,15768,1856,1998,229698,184890,11424418,11511108,"Converted paper product manufacturing"
"2","20240701141924NAL0002911683001","2023-01-01","2023-12-31","BEST BUY RETIREMENT SAVINGS PLAN","1990-10-01","2E2F2G2J2K2T3H","BEST BUY ENTERPRISE SERVICES, INC.","MN",550805038,443142,59876,57049,4001389,4010711,1743033,1743296,5684541,2810560,2439207665,2853415966,"Electronics stores"
"3","20240701115422NAL0005450096001","2023-01-01","2023-12-31","GCI 401(K) PLAN","1987-01-01","2E2F2G2J2K2T3H3D2R","GCI COMMUNICATION CORP.","AK",920134871,517000,1765,1761,410544,446703,763160,768205,3952387,4649254,350006342,401720597,"Telecommunications"
"4","20240703052846NAL0004210147001","2023-01-01","2023-12-31","EKF 401(K) RETIREMENT PLAN","2017-09-24","2A2E2F2G2J2K2R3D","EKF DIAGNOSTICS, INC. DBA STANBIO LABORATORY","TX",453356270,339110,116,115,919,15195,919,10330,116072,175020,5298218,5601381,"Medical equipment and supplies manufacturing"
"5","20240702112432NAL0005496705001","2023-01-01","2023-12-31","BANK OF BRIDGER 401(K) SAFE HARBOR PLAN","2000-01-01","2E3D2G2J2K2F2T3H","BANK OF BRIDGER, N.A.","MT",830129675,522110,118,116,15358,15467,8079,8364,41574,102906,11457628,12643453,"Commercial banking"
"6","20240621143113NAL0001761251001","2023-01-01","2023-12-31","AFFINITY GAMING RETIREMENT SAVINGS PLAN","2001-10-01","2E2F2G2J2K2T3D3H","AFFINITY GAMING","NV",20815199,721120,410,485,155,31761,39,2438,318851,419026,14375786,34839208,"Casino hotels"
"7","20240701135024NAL0004230769001","2023-01-01","2023-12-31","SALT LAKE COMMUNITY ACTION PROGRAM 401(K) PLAN","2014-03-01","2E2F2G2J2K2S2T3D","SALT LAKE COMMUNITY ACTION PROGRAM","UT",870269683,624200,744,756,39449,44948,24678,29762,204761,204510,13622646,16708085,"Community food and housing, and emergency and other relief services"
"8","20240702192924NAL0008418640001","2023-01-01","2023-12-31","MATTEL, INC. PERSONAL INVESTMENT PLAN","1983-11-01","2F2J2K2S2T2A2E2G","MATTEL, INC.","CA",951567322,423920,7408,7427,1846000,1268000,1496000,971000,5283000,5934000,1047319000,1168467000,"Toy and hobby goods and supplies merchant wholesalers"
"9","20240703095242NAL0009348192001","2023-01-01","2023-12-31","AAFCPAS, INC 401(K) SAVINGS PLAN","1985-11-10","2E2F2G2J2K2R2T3D","AAFCPAS, INC.","MA",42571780,541211,362,378,118297,219925,88310,76078,182453,254595,36681724,46858108,"Offices of certified public accountants"
"10","20240618100810NAL0005438290001","2023-01-01","2023-12-31","CXTEC INC. RETIREMENT & PROFIT SHARING PLAN","1983-11-01","2E2F2G2J2K2T3D","CXTEC INC.","NY",161105670,334110,331,330,25730,31522,118139,86783,446371,428594,44345022,52118466,"Computer and peripheral equipment manufacturing"
"11","20240620131221NAL0000949651001","2023-01-01","2023-12-31","KEMBA FINANCIAL CREDIT UNION, INC. 401(K) PROFIT SHARING PLAN","1997-07-01","2T2E2F2G2J2K2S3D","KEMBA FINANCIAL CREDIT UNION, INC.","OH",316034826,522130,371,384,50638,54657,865922,720722,62552,62888,22023602,27032101,"Credit unions"
"12","20240618142604NAL0002797793001","2023-01-01","2023-12-31","PINNACLE WEST CAPITAL CORPORATION SAVINGS PLAN","1987-01-01","2E2F2G2J2K2O2R2S2T3F3H","PINNACLE WEST CAPITAL CORPORATION","AZ",860512431,551112,7553,7750,1257016,1598239,392942,499276,19818571,20950221,1290988455,1467517436,"Offices of other holding companies"
"13","20240703082317NAL0004177555001","2023-01-01","2023-12-31","TAYLOR TRUCK LINE INC. 401(K) PLAN","1996-01-01","2E2F2G2J2K2T3D","TAYLOR TRUCK LINE INC.","MN",411646445,484120,115,119,7250,8388,95209,91261,128254,80117,6083704,7454379,"General freight trucking, long-distance"
"14","20240618160617NAL0001819907001","2023-01-01","2023-12-31","LEGGETT & PLATT, INCORPORATED 401(K) PLAN AND TRUST AGREEMENT","2000-09-01","2E2F2G2J2K2O2S2T3H","LEGGETT & PLATT, INCORPORATED","MO",440324630,339900,6931,6677,479985,499357,755906,792889,5943397,6811143,339555726,376932660,"Other miscellaneous manufacturing"
"15","20240621144402NAL0002727345001","2023-01-01","2023-12-31","CHESAPEAKE CONTAINMENT SYSTEMS 401(K) PLAN","2015-01-01","2E2F2G2J2K2T3D3H","CHESAPEAKE CONTAINMENT SYSTEMS, INC.","NC",208372336,238900,116,115,6895,9055,4042,4941,126328,178722,3700250,5031100,"Other specialty trade contractors"
"16","20240701153643NAL0002966419001","2023-01-01","2023-12-31","GSC ENTERPRISES, INC 401(K) PLAN","1996-01-01","2S2E3D2G2J2K2F2T","GSC ENTERPRISES, INC","TX",751413801,424400,746,749,42653,88,19176,10966,818298,870932,42653954,49204909,"Grocery and related product merchant wholesalers"
"17","20240702121713NAL0007244880001","2023-01-01","2023-12-31","ORTHOPAEDIC HOSPITAL 401(K) PLAN","1998-11-01","2E2F2G2J2K2S2T3D","ORTHOPAEDIC HOSPITAL","CA",951644604,621498,297,307,26315,36235,27640,44253,209882,257585,20626396,23791555,"All other outpatient care centers"
"18","20240704061832NAL0010921488001","2023-01-01","2023-12-31","INLAND MANAGEMENT LLC 401(K) SAVINGS PLAN","1995-03-31","2E2F2G2J2K2T3D3H","INLAND MANAGEMENT, LLC","MA",43267557,531390,122,113,6673,3785,1334,757,110758,38831,16977580,17155075,"Other activities related to real estate"
"19","20240620111359NAL0000861331001","2023-01-01","2023-12-31","AEROSPACE CORPORATION 401(K) PLAN","1993-01-01","2A2E2F2G2J2K2R2S2T3D3F","THE AEROSPACE CORPORATION","CA",952102389,541990,5900,6148,708589,930184,2223124,2771968,3932295,4684587,909029586,1195181397,"All other professional, scientific, and technical services"
"20","20240621154315NAL0001918451001","2023-01-01","2023-12-31","SAP AMERICA, INC. 401(K) PLAN","1988-07-01","2E2F2G2J2K2R2T","SAP AMERICA, INC.","PA",363556041,454390,27316,26689,6268900,7337012,21908478,23945776,37963814,39706279,6373892622,7535277617,"Other direct selling establishments"
"21","20240701085114NAL0002745955001","2023-01-01","2023-12-31","REHABVISIONS 401(K) PLAN","1992-01-01","2E2F2G2J2K2R2T3D3H3B","NATIONAL THERAPEUTIC ASSOCIATES, INC.","NE",470656084,621340,880,822,14507,9975,2088,1366,217324,263441,33860806,40685773,"Offices of physical, occupational and speech therapists, and audiologists"
"22","20240703094226NAL0009130832001","2023-01-01","2023-12-31","MARSH FURNITURE COMPANY 401(K) PLAN","1952-12-31","2E2F2G2J2K2S2T3D","MARSH FURNITURE COMPANY","NC",560310260,321210,566,650,626,10594,28230,31573,154791,161926,14898396,18421620,"Veneer, plywood, and engineered wood product manufacturing"
"23","20240705080245NAL0013332336001","2023-01-01","2023-12-31","GRAND ITASCA CLINIC & HOSPITAL 401(K) PLAN AND TRUST","1960-08-29","2E2F2G2J2K2R2S2T3D","GRAND ITASCA CLINIC & HOSPITAL","MN",411865874,621111,866,912,24373,6628,5288,12162,642178,696408,84286426,99165198,"Offices of physicians (except mental health specialists)"
"24","20240620132205NAL0001324353001","2023-01-01","2023-12-31","ASHLAND EMPLOYEE SAVINGS PLAN","1964-06-01","2F2H2J2K2S2T3I2E2R","ASHLAND INC.","DE",812587835,551112,5614,5254,449365,487656,385275,395779,9659199,9075498,1201689819,1267144025,"Offices of other holding companies"
"25","20240702092644NAL0004808065001","2023-01-01","2023-12-31","RHINEBECK BANK 401(K) PLAN","1993-04-01","2E2F2G2J2K2S2T3D3H","RHINEBECK BANK","NY",141002430,522120,269,257,32295,30421,36285,35597,388346,380768,21519577,25758740,"Savings institutions"
"26","20240703083430NAL0004282947001","2023-01-01","2023-12-31","THE GROUP 401(K) PROFIT SHARING PLAN OF PACOR, INC.","1978-01-01","2E2F2G2J2K2S2T3D","PACOR, INC.","NJ",231345104,423300,104,91,7724,8079,103906,78942,68815,92506,5952937,6893914,"Lumber and other construction materials merchant wholesalers"
"27","20240703131607NAL0013230674001","2023-01-01","2023-12-31","THE FIDELITY NATIONAL FINANCIAL GROUP 401(K) PROFIT SHARING PLAN","1990-01-01","2E2F2G2J2K2S2T3H","FIDELITY NATIONAL FINANCIAL, INC.","FL",161725106,524150,24288,23029,3113863,4293004,1096281,1762261,41867695,44584473,2316162861,2719831716,"Direct insurance carriers agencies and brokerages"
"28","20240702130357NAL0010366818001","2023-01-01","2023-12-31","SOUTHERN HVAC CORPORATION 401(K) PLAN","2022-01-01","2E2F2G2J2K2T3D","SOUTHERN HVAC CORPORATION","FL",812606496,238220,219,356,13577,30979,8295,17455,127298,317155,5552339,11155249,"Plumbing and hvac contractors"
"29","20240703120357NAL0007157329001","2023-01-01","2023-12-31","KINGSTON HEALTHCARE SAVINGS AND RETIREMENT PLAN","1996-01-01","2E2F2G2J2K2T3D3H","KINGSTON HEALTHCARE COMPANY, LLC","OH",203781424,623000,695,637,24650,26150,425072,380815,135346,151598,23444593,27231603,"Nursing and residential care facilities"
"30","20240621063648NAL0002466049001","2023-01-01","2023-12-31","DEFERRED PROFIT-SHARING PLAN FOR HOURLY EMPLOYEES","1983-01-01","2E2F2G2J2K2O2S2T3H","ALTRIA CLIENT SERVICES LLC","VA",472929146,312200,3552,3378,249360,268059,18922811,19625771,17038322,18243255,891516372,837091897,"Tobacco manufacturing"
"31","20240617153801NAL0001687425001","2023-01-01","2023-12-31","CRANE SAVINGS AND INVESTMENT PLAN","1985-01-01","2E2F2H2J2K2O2T3H","CRANE COMPANY","CT",882846451,339900,9421,7430,51453,557,21024,482,15287289,11767870,1211774594,1072457799,"Other miscellaneous manufacturing"
"32","20240620132543NAL0001327553001","2023-01-01","2023-12-31","INTERNATIONAL SPECIALTY PRODUCTS INC. 401(K) PLAN","2004-01-01","2F2G2J2K2S2T2E2R","INTERNATIONAL SPECIALTY PRODUCTS, INC.","DE",510376469,324120,467,457,94005,90066,33809,34722,1883811,2108084,106312557,115226632,"Asphalt paving, roofing, and saturated materials manufacturing"
"33","20240702052529NAL0005188593001","2023-01-01","2023-12-31","TOGETHER LABS 401(K) PROFIT SHARING PLAN","2006-01-01","2E2F2G2J2K2S2T3D","TOGETHER LABS","CA",203762997,541519,297,256,69240,52656,468061,310955,165834,95260,17465517,20741090,"Other computer related services"
"34","20240701151959NAL0008423682001","2023-01-01","2023-12-31","TAPESTRY, INC. 401(K) SAVINGS PLAN","2001-07-01","2F2E2G2J2K2T3D","TAPESTRY, INC.","NY",522242751,448320,8549,8462,610396,628279,2526809,1848049,4652335,5126433,482231383,580096560,"Luggage and leather goods stores"
"35","20240702100958NAL0004842769001","2023-01-01","2023-12-31","TRAVEL + LEISURE CO. EMPLOYEE SAVINGS PLAN","2006-08-01","2E2F2G2J2K2T3H","TRAVEL + LEISURE CO.","FL",200052541,721110,8405,9498,122757,166702,111020,146290,18424601,20188140,731127107,865082724,"Hotels (except casino hotels) and motels"
"36","20240705084509NAL0013162480001","2023-01-01","2023-12-31","JANE STREET GROUP, LLC 401(K) PLAN","2000-08-01","2E2F2G2J2K2T3D","JANE STREET GROUP, LLC","NY",901010033,523120,1482,1810,4233,3424122,18666,3905631,620775,685832,277614038,389901643,"Securities brokerage"
"37","20240701102128NAL0005332928001","2023-01-01","2023-12-31","GARAFALO MARKETS, LLC 401(K) PROFIT SHARING PLAN","1998-10-04","2E2F2G2J2K2S2T3D3H","GARAFALO MARKETS, LLC","CT",464483467,445110,211,202,14498,16557,7116,7248,152466,249976,14384831,16380607,"Supermarkets and other grocery retailers (except convenience retailers)"
"38","20240617134659NAL0003255266001","2023-01-01","2023-12-31","THE PEPSICO SAVINGS PLAN","1988-04-08","2E2F2J2R3H2I2O2G2K2S2A2T","PEPSICO, INC.","NY",131584302,311400,152595,165445,11321000,15999000,11982000,21566000,256089000,278697000,12067222000,13651296000,"Fruit and vegetable preserving and specialty food manufacturing"
"39","20240618082117NAL0002358017001","2023-01-01","2023-12-31","MANIFEST, LLC 401(K) PLAN","2013-01-01","2E2F2G2J2K2S2T3D","MANIFEST LLC","NY",383892306,511120,237,242,30908,32900,11132,11960,25526,96488,10309131,13287784,"Periodical publishers"
"40","20240614121118NAL0016943555001","2023-01-01","2023-12-31","KONTOOR BRANDS 401(K) SAVINGS PLAN","2019-05-22","2O2R2S2T3D2K2E2F2G2J","KONTOOR BRANDS, INC.","NC",832680248,315990,2884,2932,329127,359945,240722,618797,4073867,4332548,219980624,257294357,"Apparel accessories and other apparel manufacturing"
"41","20240607162445NAL0023965153001","2023-01-01","2023-12-31","PALOMAR HOLDINGS, INC. 401(K) PLAN","2014-04-15","2E3D2G2J2K2F2T","PALOMAR HOLDINGS, INC","CA",833972551,551112,221,274,48039,51414,24954,28336,104735,195970,9110796,14789267,"Offices of other holding companies"
"42","20240603104719NAL0031250752001","2023-01-01","2023-12-31","GREENWICH AEROGROUP, INC. RETIREMENT SAVINGS PLAN","2009-01-01","2E2F2G2J2K2T3D3H","GREENWICH AEROGROUP, INC.","CT",331151331,481000,824,862,107352,121536,36468,46209,411276,545663,41704996,48659059,"Air transportation"
"43","20240606171617NAL0039586208001","2023-01-01","2023-12-31","VIANT MEDICAL, LLC 401(K) PLAN","2008-04-04","2E2J2F2G2K2S2T3D3H","VIANT MEDICAL, LLC","MA",261468849,326100,3767,4396,455742,478355,170113,172330,2294444,3013423,96137042,123736746,"Plastics product manufacturing"
"44","20240711141352NAL0033273922001","2023-01-01","2023-12-31","MONRO, INC. 401(K) PLAN","1960-05-01","2E2F2A2J2K2T3H3D","MONRO, INC.","NY",160838627,811190,2091,1904,213161,183503,78765,69119,1529805,1606219,67337877,75454138,"Other automotive repair and maintenance"
"45","20240530121414NAL0013458129001","2023-01-01","2023-12-31","SYSTEL BUSINESS EQUIPMENT CO., INC. 401(K) PSP","1993-04-01","2E2F2G2J2K3D2T2S","SYSTEL BUSINESS EQUIPMENT CO., INC.","NC",561313968,532400,216,225,87091,85521,16172,16523,300551,294484,13577082,15881140,"Commercial and industrial machinery and equipment rental and leasing"
"46","20240610135236NAL0042509536001","2023-01-01","2023-12-31","WIDEOPENWEST 401(K) PLAN","2000-10-01","2E2F2G2J2K2T3D","WIDEOPENWEST FINANCE, LLC","CO",311811298,515210,1608,1568,233057,252850,106685,111790,2130064,2418477,101897056,122820802,"Cable and other subscription programming"
"47","20240607103540NAL0041208000001","2023-01-01","2023-12-31","NOMAX GROUP 401(K) PROFIT SHARING PLAN","1996-01-01","2E2F2G2J2K2T3D3H","NOMAX, INC.","MO",431259694,325410,173,163,118883,132991,352982,518602,11028,4342,12089378,14324840,"Pharmaceutical and medicine manufacturing"
"48","20240612205449NAL0029954433001","2023-01-01","2023-12-31","ORIGAMI RISK 401(K) SAVINGS & INVESTMENT PLAN","2012-09-01","2S2E3D2G2J2K2F2T3H","ORIGAMI RISK LLC","IL",264060548,518210,717,887,218203,307181,104578,136446,284312,500505,36383784,54566542,"Computing infrastructure providers, data processing, web hosting, and related services"
"49","20240531084149NAL0014514225001","2023-01-01","2023-12-31","ACCUTEC BLADES, INC. 401K PLAN","2015-09-15","2A2E2J2K2F2G3D","ACCUTEC BLADES, INC.","VA",474381390,332210,179,190,9273,27779,446,12207,159189,244727,8588253,11276574,"Cutlery and handtool manufacturing"
"50","20240711053647NAL0009125059001","2023-01-01","2023-12-31","UTILITY PIPELINE, LTD 401(K) PROFIT SHARING PLAN","1998-01-01","2E2F2G2J2K2T3D","UTILITY PIPELINE, LTD","OH",341793154,221210,136,151,19855,18120,9239,9483,169133,260165,8515821,10398722,"Natural gas distribution"
"51","20240531153802NAL0015048225001","2023-01-01","2023-12-31","DAVIS MILES, PLLC 401(K) PLAN","2001-01-01","2S2E3D2G2J2K2F2T","DAVIS MILES, PLLC","AZ",731646406,541110,159,169,29843,32087,4534,7281,7363,54615,5510183,7546804,"Offices of lawyers"
"52","20240613140043NAL0030771745001","2023-01-01","2023-12-31","THE DOW CHEMICAL COMPANY EMPLOYEES' SAVINGS PLAN","1953-06-01","2E2F2H2J2K2O2P2S2T3F3J3H","THE DOW CHEMICAL COMPANY","MI",381285128,325100,34710,33196,1168880,1201815,18698413,14039534,90956189,96999095,9307640951,10084842211,"Basic chemical manufacturing"
"53","20240603145714NAL0018339889001","2023-01-01","2023-12-31","CORTLAND HOLDINGS, LLC 401(K) PLAN","2013-01-01","2F2G2E2J2K2S2T3D3H","CORTLAND HOLDINGS, LLC","GA",465619534,531110,2914,3010,302536,320142,55888,46031,816527,1225251,32780833,48048896,"Lessors of residential buildings and dwellings"
"54","20240611112718NAL0027851905001","2023-01-01","2023-12-31","ROCK SOLID EMPLOYEES 401(K) PLAN","1994-01-01","2A2E2F2G2J2K2T3D3H","THE ROCK SOLID, INC.","AZ",860714549,238100,124,130,15743,18454,8086,8921,72491,119129,6594069,8473170,"Building foundation and exterior contractors"
"55","20240606103506NAL0047173106001","2023-01-01","2023-12-31","DATASSENTIAL, INC. 401(K) PLAN","2011-01-01","2A2E2F2G2J2K2T3D","DATASSENTIAL, INC.","IL",954876363,541910,134,125,29722,30473,16219,41380,29794,51298,5881936,8348809,"Marketing research and public opinion polling"
"56","20240711150116NAL0033418514001","2023-01-01","2023-12-31","FIDUCIARY SERVICES GROUP 401(K) PLAN","2012-01-01","2A2E2F2G2K2S2T3B3D","PCS RETIREMENT, LLC","DE",233038464,518210,433,406,60078,60292,75188,66902,412491,406483,23191598,25748997,"Computing infrastructure providers, data processing, web hosting, and related services"
"57","20240611082745NAL0043761104001","2023-01-01","2023-12-31","MASCO CORPORATION 401(K) PLAN","1984-07-01","2J2K2R3H2E","MASCO CORPORATION","MI",381794485,332510,13577,12847,983530,1095238,13432488,36122769,22232326,25330445,1286302840,1533436651,"Hardware manufacturing"
"58","20240614142444NAL0051921536001","2023-01-01","2023-12-31","TEREX CORPORATION AND AFFILIATES 401(K) RETIREMENT SAVINGS PLAN","1987-04-01","2E2F2H2J2K2S2T3F3H3I2R","TEREX CORPORATION","CT",341531521,333100,6148,6355,754555,874434,374792,445276,11107595,11978936,543583457,638507885,"Agriculture, construction, and mining machinery manufacturing"
"59","20240711132300NAL0016225073001","2023-01-01","2023-12-31","ACE ENDICO CORP. 401(K) PLAN","1992-01-01","2E2F2G2J2K2S2T3D","ACE ENDICO CORP.","NY",133116470,722300,508,655,39547,45846,13457,15348,670388,807816,19877420,26708665,"Special food services"
"60","20240711065623NAL0017987681001","2023-01-01","2023-12-31","DENMAR ASSOCIATES, LLC 401(K) PROFIT SHARING PLAN","2002-01-01","2E2F2G2J2K2S2T3D","DENMAR ASSOCIATES, LLC","PA",232043141,551112,370,304,32774,92,5894,46,51832,78338,10031932,12948720,"Offices of other holding companies"
"61","20240711082923NAL0018078993001","2023-01-01","2023-12-31","HANNAY REELS, INC. EMPLOYEE RETIREMENT PLAN","1953-12-31","2A2E2T2J2K3D2F2G","HANNAY REELS, INC.","NY",141270107,332900,155,154,19095,22008,7138,7270,65580,136027,32122340,37795542,"Other fabricated metal product manufacturing"
"62","20240610100452NAL0026526481001","2023-01-01","2023-12-31","BALL CORPORATION 401(K) AND EMPLOYEE STOCK OWNERSHIP PLAN","1983-09-01","2E2F2G2J2K2O2S2T3F3I","BALL CORPORATION","CO",350160610,332900,15020,14130,3049978,3253410,17870967,24055223,22554310,22950360,2515436510,2806549522,"Other fabricated metal product manufacturing"
"63","20240520122902NAL0001356385001","2023-01-01","2023-12-31","STRUCTURAL AND STEEL PRODUCTS 401(K) PLAN","1987-07-01","3H2A2E2F2G2J2K2T2S3D","STRUCTURAL AND STEEL PRODUCTS, INC.","TX",751302561,331200,184,226,8256,31263,43557,75286,263703,242692,9449062,11689312,"Steel product manufacturing from purchased steel"
"64","20240515162712NAL0049541489001","2023-01-01","2023-12-31","THE NEIMAN MARCUS GROUP LLC RETIREMENT SAVINGS PLAN","2008-01-01","2F2G2J2K2R2S2T3H","THE NEIMAN MARCUS GROUP LLC","TX",954119509,448190,15411,14279,1842458,1939060,1055913,1102268,13387029,14791756,1064284212,1241350833,"Other clothing stores"
"65","20240528091051NAL0005217363001","2023-01-01","2023-12-31","ALIMED 401(K) PLAN","1995-10-15","2F2G2J2K2S2T3B2E3H3D","ALIMED, INC.","MA",42577770,339110,231,229,33378,34090,95322,88341,88660,106932,8301572,8585765,"Medical equipment and supplies manufacturing"
"66","20240528143805NAL0018319792001","2023-01-01","2023-12-31","HERAEUS INCORPORATED 401(K) RETIREMENT PLAN","1985-01-01","2E2F2G2J2K2R2S2T3D3F3H","HERAEUS INCORPORATED","PA",222209713,339900,2585,2770,492119,510945,272826,286310,3220395,3619911,242977280,291570484,"Other miscellaneous manufacturing"
"67","20240710052805NAL0008370467001","2023-01-01","2023-12-31","WINESBURG COMPANIES 401K PLAN","2018-01-01","2E2F2G2J2K2T3D3H","WINESBURG COMPANIES, DBA WINESBU","OH",341222251,321110,109,119,6028,14078,4920,9292,3161,7581,2223108,3002220,"Sawmills and wood preservation"
"68","20240710090100NAL0014648673001","2023-01-01","2023-12-31","HARRELL'S 401(K) & PROFIT SHARING PLAN","1990-01-01","2E2F2G2J2K2S2T3D3H","HARRELL'S, LLC","FL",261595082,325300,494,487,50,738,946373,1021898,421050,494057,47114320,56047299,"Pesticide, fertilizer, and other agricultural chemical manufacturing"
"69","20240710092711NAL0009436899001","2023-01-01","2023-12-31","THE ETHAN ALLEN RETIREMENT SAVINGS PLAN","1989-06-29","2E2F2G2J2K2R2T3D","ETHAN ALLEN GLOBAL, INC.","CT",202991357,337000,3640,3457,616,697,2701987,2326967,2429838,2463826,195333482,219259598,"Furniture and related product manufacturing"
"70","20240627145834NAL0006407059001","2023-01-01","2023-12-31","THE TORO COMPANY RETIREMENT PLAN","1952-08-31","2S2T3H3I3F2E2F2H2J2K2O2R","THE TORO COMPANY","MN",410580470,333610,10358,10259,755000,750000,16203517,16725965,131713,18673,1321882008,1368721453,"Engine, turbine, and power transmission equipment manufacturing"
"71","20240709160716NAL0022488816001","2023-01-01","2023-12-31","UMPQUA BANK 401(K) AND PROFIT SHARING PLAN","1971-12-31","2F2G2E2J2K2T3D2R","COLUMBIA BANKING SYSTEM, INC.","WA",911422237,522120,5395,7803,725259,431,1118994,1710677,6650903,11110787,396108299,695335758,"Savings institutions"
"72","20240709135314NAL0027551826001","2023-01-01","2023-12-31","APOGEE ENTERPRISES, INC. 401(K) RETIREMENT PLAN","1983-03-01","2E2F2G2J2K2R2S2T3D","APOGEE ENTERPRISES, INC.","MN",410919654,327210,5043,4955,-184,205,164921,396639,11106184,11832870,407415278,461622193,"Glass and glass product manufacturing"
"73","20240628093631NAL0000429553001","2023-01-01","2023-12-31","THE SAVINGS PROGRAM FOR EE OF PRAXAIR PR BV AND ITS PARTICIPATING SUBSIDIARY COMP","1995-03-01","2E2G2F2T3C2J2K","PRAXAIR PUERTO RICO B.V.","PR",660605193,221210,94,87,10668,9598,4828,4689,380424,289290,8373245,9491648,"Natural gas distribution"
"74","20240709103519NAL0028759554001","2023-01-01","2023-12-31","KUBOTA MANUFACTURING OF AMERICA CORPORATION 401(K) PLAN & TRUST","1989-01-01","2E2F2G2J2K2S2T3D3H","KUBOTA MANUFACTURING OF AMERICA CORPORATION","GA",581781948,333100,3302,3647,16,11,2035816,2491125,4485853,5649908,102134820,131692246,"Agriculture, construction, and mining machinery manufacturing"
"75","20240710053537NAL0008372419001","2023-01-01","2023-12-31","MITSUI KINZOKU NORTH AMERICAN 401(K) RETIREMENT PLAN","2020-01-01","2E2F2G2J2K2T3D","GECOM CORPORATION","IN",351706912,336300,534,509,19168,22774,6581,6855,1072050,997792,33405394,35693309,"Motor vehicle parts manufacturing"
"76","20240710170610NAL0008830563001","2023-01-01","2023-12-31","ATB ADMINISTRATION RETIREMENT PLAN","2022-01-01","3H2E2F2G2J2K2T3B3D2R","ATB ADMINISTRATION LLC","CA",880628289,551112,189,224,1200,2968,148222,156385,54108,264034,8960211,15672888,"Offices of other holding companies"
"77","20240501140149NAL0008696755001","2023-01-01","2023-12-31","MOSAIC BUILDING GROUP 401(K) PLAN","2020-01-01","2S2E3D2G2J2K2F2T","MOSAIC BUILDING GROUP, INC.","AZ",474119508,236110,161,164,15377,16395,2626,2530,3201,1134,1434823,2464742,"Residential building construction"
"78","20240709120014NAL0013526321001","2023-01-01","2023-12-31","NEWMARK 401(K) PLAN","1982-10-01","2E2F2G2J2K2S2T3H","NEWMARK GROUP, INC.","NY",814467492,531210,3977,3932,27735,18258,2496508,3661590,2403325,3060356,195159888,244722565,"Offices of real estate agents and brokers"
"79","20240709084830NAL0008546755001","2023-01-01","2023-12-31","AMERICAN ASSOCIATION FOR JUSTICE 401(K) PROFIT SHARING PLAN","1985-08-01","2E2F2G2J2K2T3D","AMERICAN ASSOCIATION FOR JUSTICE","DC",42114561,541110,143,139,25763,25642,12198,13482,132807,114646,17992766,21412658,"Offices of lawyers"
"80","20240708102457NAL0019007888001","2023-01-01","2023-12-31","NVENT MANAGEMENT COMPANY RETIREMENT SAVINGS AND INVESTMENT PLAN","2019-01-01","2E2G2J2K2T3H2R","NVENT MANAGEMENT COMPANY","MN",823123161,332300,4104,4365,603120,715123,298786,357909,5383374,5309260,474200171,575386415,"Architectural and structural metals manufacturing"
"81","20240709125037NAL0007873219001","2023-01-01","2023-12-31","GSK 401(K) PLAN","1966-07-01","2E2F2G2J2K2O2T3F3H","GLAXOSMITHKLINE LLC","PA",231099050,325410,22013,22289,7250519,7933724,12339112,13640954,25295129,26614156,6963710013,8072931460,"Pharmaceutical and medicine manufacturing"
"82","20240709125100NAL0015406801001","2023-01-01","2023-12-31","NORTHWEST NATURAL GAS COMPANY RETIREMENT K SAVINGS PLAN","1985-01-01","2E2F2G2I2J2K2O2R2S2T3F3H","NORTHWEST NATURAL GAS COMPANY","OR",930256722,221210,1450,1499,204222,218650,139242,145018,3147320,3688625,257931066,298047939,"Natural gas distribution"
"83","20240710131622NAL0022874976001","2023-01-01","2023-12-31","ROBINSON COMPANIES RETIREMENT PLAN","1953-12-01","2F2E2G2J2K2R2S2T3D","C.H. ROBINSON COMPANY, INC.","MN",411956721,484120,16679,15406,1291928,1344084,2832711,2447095,21332292,22751974,1427419387,1635349315,"General freight trucking, long-distance"
"84","20240710101734NAL0014732657001","2023-01-01","2023-12-31","M & T BANK CORPORATION RETIREMENT SAVINGS PLAN","1986-04-01","2E2F2G2I2J2K2O2S2T3H","MANUFACTURERS AND TRADERS TRUST CO.","NY",160538020,522110,30755,31154,1756034,3148337,39477844,41581494,41732621,42101689,4055519049,4605086091,"Commercial banking"
"85","20240710141316NAL0015028049001","2023-01-01","2023-12-31","VERINEXT CORP. 401(K) RETIREMENT PLAN","2000-10-01","2S2E3D2G2J2K2F2T3F","VERINEXT CORP.","PA",233024532,541512,413,431,42184,29610,299450,293752,184439,260427,25690810,33381689,"Computer systems design services"
