"","ACK_ID","PLAN_YEAR_BEGIN_DATE","PLAN_YEAR_END_DATE","PLAN_NAME","PLAN_EFFECTIVE_DATE","PLAN_TYPE","SPONSOR_NAME","SPONSOR_STATE","SPONSOR_EIN","BUSINESS_CODE","TOTAL_ACCBAL_PARTCP_BOY","TOTAL_ACCBAL_PARTCP_EOY","TOTAL_CONTRIB_PARTCP_BOY","TOTAL_CONTRIB_PARTCP_EOY","TOTAL_CONTRIB_EMPLR_BOY","TOTAL_CONTRIB_EMPLR_EOY","TOTAL_LOANS_BOY","TOTAL_LOANS_EOY","TOTAL_ASSETS_BOY","TOTAL_ASSETS_EOY","INDUSTRY_TITLE"
"4433","20241015105353NAL0014435203001","2023-01-01","2023-12-31","GLOBAL TEXTILE ALLIANCE, INC. 401(K) PLAN","2002-01-01","2E2F2G2J2K3D2T2S3H","GLOBAL TEXTILE ALLIANCE, INC.","NC",562266852,424990,232,182,26999,28176,16631,14741,39522,56241,7342697,8162272,"Other miscellaneous nondurable goods merchant wholesalers"
"4434","20241015105400NAL0055661218001","2023-01-01","2023-12-31","CIRCLE K RETIREMENT PLAN","1998-01-01","2E2G2J2K2T3D3H","THE CIRCLE K RETIREMENT PLAN","AZ",741149540,447100,10714,10427,961061,1381184,285157,405064,11145509,12263073,432445927,478812394,"Gasoline stations"
"4435","20241015111711NAL0016214547001","2023-01-01","2023-12-31","HAMILTON LANE ADVISORS, LLC 401(K) PLAN","1995-01-01","2E2F2G2J2K2S2T3D","HAMILTON LANE ADVISORS, LLC","PA",232962336,523900,600,650,105635,137689,50610,59685,252662,295490,60365022,79185050,"Other financial investment activities"
"4436","20240814115858NAL0006494627001","2023-01-01","2023-12-31","QUISITIVE, LLC 401(K) PLAN","1996-01-01","2E2F2G2J2K2T3D","QUISITIVE, LLC","TX",810698885,541511,320,496,76446,142840,33960,104467,302680,314822,38961077,46220984,"Custom computer programming services"
"4437","20240814141255NAL0020443648001","2023-01-01","2023-12-31","LEE COMPANY 401(K) PLAN","1978-01-01","2E2F2G2J2K2S2T3D","LEE COMPANY","TN",620723985,238220,1504,1532,61746,65445,1495110,1703586,894813,1187920,47423041,58617027,"Plumbing and hvac contractors"
"4438","20240815133053NAL0013111137001","2023-01-01","2023-12-31","SCHMIDBAUER LUMBER SAWMILLS 401(K) PLAN","1975-01-01","2E2A2G2J2K3D3H","SCHMIDBAUER LUMBER, INC.","CA",942196486,321110,669,754,36363,150,7862483,3023207,160151,85799,60084436,66315835,"Sawmills and wood preservation"
"4439","20240815133442NAL0013112721001","2023-01-01","2023-12-31","XPT PARTNERS 401(K) PLAN","2019-01-01","2E2F2G2J2K2S2T3D3H","XPT PARTNERS LLC","CT",842849287,524290,284,366,54095,67534,16353,21154,177587,304320,10774101,16361898,"Other insurance related activities"
"4440","20240815161211NAL0028225794001","2023-01-01","2023-12-31","VISA 401K PLAN","1971-02-01","2E2F2G2J2K2R2T3F3H","VISA INC.","CA",260267673,522300,18178,18944,4736599,5590254,6413087,7209921,33704661,37839646,3351212805,4306496181,"Activities related to credit intermediation"
"4441","20240916134740NAL0002909104001","2023-01-01","2023-12-31","RENOVATION BRANDS 401(K) RETIREMENT PLAN","2014-01-01","2E2F2G2J2K2T3D","RENOVATION BRANDS, LLC","AL",473169706,333310,147,166,21828,42638,12211,16823,12369,47699,3685706,5066197,"Commercial and service industry machinery manufacturing"
"4442","20240916134825NAL0002909680001","2023-01-01","2023-12-31","WELCH SENIOR LIVING, LLC SAVINGS PLAN","1995-01-01","2G2J2K2T3D2F","WELCH SENIOR LIVING, LLC","MA",814769421,623000,288,299,7327,9812,990,1340,105718,98017,10167352,11266107,"Nursing and residential care facilities"
"4443","20240916152406NAL0003116624001","2023-01-01","2023-12-31","SUPER RADIATOR COILS 401(K) PLAN","1986-01-01","2E2F2G2J2K2T3D3H2S","SUPER RADIATOR COILS LIMITED PARTNERSHIP","MN",411533780,332900,416,528,21100,30345,35779,35108,687028,740377,35261040,44493498,"Other fabricated metal product manufacturing"
